insee,com,annee,autres_btinf36_nb,autres_btinf36_puis,autres_btinf36_prod,autres_btsup36_nb,autres_btsup36_puis,autres_btsup36_prod,autres_hta_nb,autres_hta_puis,autres_hta_prod,bionrj_btinf36_nb,bionrj_btinf36_puis,bionrj_btinf36_prod,bionrj_btsup36_nb,bionrj_btsup36_puis,bionrj_btsup36_prod,bionrj_hta_nb,bionrj_hta_puis,bionrj_hta_prod,coge_btinf36_nb,coge_btinf36_puis,coge_btinf36_prod,coge_btsup36_nb,coge_btsup36_puis,coge_btsup36_prod,coge_hta_nb,coge_hta_puis,coge_hta_prod,eol_btinf36_nb,eol_btinf36_puis,eol_btinf36_prod,eol_btsup36_nb,eol_btsup36_puis,eol_btsup36_prod,eol_hta_nb,eol_hta_puis,eol_hta_prod,hyd_btinf36_nb,hyd_btinf36_puis,hyd_btinf36_prod,hyd_btsup36_nb,hyd_btsup36_puis,hyd_btsup36_prod,hyd_hta_nb,hyd_hta_puis,hyd_hta_prod,pv_btinf36_nb,pv_btinf36_puis,pv_btinf36_prod,pv_btsup36_nb,pv_btsup36_puis,pv_btsup36_prod,pv_hta_nb,pv_hta_puis,pv_hta_prod,secret
77332,Nantouillet,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,72,84978,,,,Photovoltaïque BTINF36
77333,Nemours,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,49,45573,,,,,,,
77335,Chauconin-Neufmontiers,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,65,47790,,,,,,,
77336,Neufmoutiers-en-Brie,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,Photovoltaïque BTINF36
77337,Noisiel,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,Photovoltaïque BTINF36
77338,Noisy-Rudignon,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,,,,,,,Photovoltaïque BTINF36
77339,Noisy-sur-École,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,Photovoltaïque BTINF36
77340,Nonville,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,Photovoltaïque BTINF36
77341,Noyen-sur-Seine,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,Photovoltaïque BTINF36
77342,Obsonville,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,Photovoltaïque BTINF36
